atomic number,symbol,atomic mass,name,metal or nonmetal?,State At Room Temperature
90,Th,232.03806,Thorium,actinoid,Solid
91,Pa,231.03588,Protactinium,actinoid,Solid
92,U,238.02891,Uranium,actinoid,Solid
93,Np,237,Neptunium,actinoid,Solid
94,Pu,244,Plutonium,actinoid,Solid
95,Am,243,Americium,actinoid,Solid
96,Cm,247,Curium,actinoid,Solid
97,Bk,247,Berkelium,actinoid,Solid
98,Cf,251,Californium,actinoid,Solid
99,Es,252,Einsteinium,actinoid,Solid
100,Fm,257,Fermium,actinoid,Solid
101,Md,258,Mendelevium,actinoid,Solid
102,No,259,Nobelium,actinoid,Solid
103,Lr,262,Lawrencium,transition metal,Solid
104,Rf,267,Rutherfordium,transition metal,Unknown
105,Db,268,Dubnium,transition metal,Unknown
106,Sg,271,Seaborgium,transition metal,Unknown
107,Bh,272,Bohrium,transition metal,Unknown
108,Hs,270,Hassium,transition metal,Unknown
109,Mt,276,Meitnerium,transition metal,Unknown
110,Ds,281,Darmstadtium,transition metal,Unknown
111,Rg,280,Roentgenium,transition metal,Unknown
112,Cn,285,Copernicium,transition metal,Unknown
113,Uut,284,Ununtrium,metal,Unknown
114,Uuq,289,Ununquadium,metal,Unknown
115,Uup,288,Ununpentium,halogen,Unknown
116,Uuh,293,Ununhexium,noble gas,Unknown
117,Uus,294,Ununseptium,alkali metal,Unknown
118,Uuo,294,Ununoctium,alkaline earth metal,Unknown
